CPU: Intel Sandy Bridge microarchitecture, speed 2.301e+06 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 200000
samples  cum. samples  %        cum. %     linenr info                 image name               symbol name
5020     5123477        0.0903  92.2123    arena.c:135                 redis-server             arena_avail_tree_insert
5013     5128490        0.0902  92.3025    redis.c:432                 redis-server             dictSdsHash
4752     5133242        0.0855  92.3880    networking.c:781            redis-server             resetClient
4563     5137805        0.0821  92.4701    swap.c:782                  vmlinux                  __pagevec_lru_add_fn
4553     5142358        0.0819  92.5521    memory.c:1317               vmlinux                  unmap_single_vma
4457     5146815        0.0802  92.6323    page_alloc.c:2538           vmlinux                  __alloc_pages_nodemask
4443     5151258        0.0800  92.7123    redis.c:398                 redis-server             dictSdsKeyCaseCompare
4424     5155682        0.0796  92.7919    list_debug.c:25             vmlinux                  __list_add
4368     5160050        0.0786  92.8705    db.c:103                    redis-server             dbOverwrite
4272     5164322        0.0769  92.9474    memcontrol.c:3465           vmlinux                  lookup_page_cgroup_used
4230     5168552        0.0761  93.0235    sds.c:70                    redis-server             sdsfree
4216     5172768        0.0759  93.0994    spinlock.c:136              vmlinux                  _raw_spin_lock
4182     5176950        0.0753  93.1747    inet_hashtables.c:225       vmlinux                  __inet_lookup_established
4015     5180965        0.0723  93.2469    page_alloc.c:269            vmlinux                  bad_range
3945     5184910        0.0710  93.3179    (no location information)   xfs                      /xfs
3843     5188753        0.0692  93.3871    t_string.c:232              redis-server             msetGenericCommand
3823     5192576        0.0688  93.4559    db.c:446                    redis-server             removeExpire
3756     5196332        0.0676  93.5235    redis.c:1471                redis-server             propagate
3741     5200073        0.0673  93.5908    sds.c:345                   redis-server             sdssplitlen
3538     5203611        0.0637  93.6545    page_alloc.c:1294           vmlinux                  free_hot_cold_page
3490     5207101        0.0628  93.7173    util.c:310                  redis-server             string2l
3463     5210564        0.0623  93.7796    networking.c:695            redis-server             sendReplyToClient
3419     5213983        0.0615  93.8412    tcache.c:84                 redis-server             tcache_bin_flush_small
3409     5217392        0.0614  93.9025    tcp.c:1561                  vmlinux                  tcp_recvmsg
3388     5220780        0.0610  93.9635    t_list.c:77                 redis-server             listTypePop
3386     5224166        0.0609  94.0245    page_cgroup.c:92            vmlinux                  lookup_page_cgroup
3371     5227537        0.0607  94.0851    object.c:215                redis-server             incrRefCount
3284     5230821        0.0591  94.1442    eventpoll.c:1683            vmlinux                  sys_epoll_ctl
3233     5234054        0.0582  94.2024    vmstat.c:255                vmlinux                  __inc_zone_state
3200     5237254        0.0576  94.2600    memory.c:3492               vmlinux                  handle_mm_fault
3195     5240449        0.0575  94.3175    tcp_input.c:5394            vmlinux                  tcp_rcv_established
3194     5243643        0.0575  94.3750    multi.c:269                 redis-server             touchWatchedKey
3163     5246806        0.0569  94.4319    fault.c:1005                vmlinux                  do_page_fault
3131     5249937        0.0564  94.4883    rmap.c:1120                 vmlinux                  page_add_new_anon_rmap
3037     5252974        0.0547  94.5429    mmzone.c:59                 vmlinux                  next_zones_zonelist
3036     5256010        0.0546  94.5976    memory.c:3437               vmlinux                  handle_pte_fault
2893     5258903        0.0521  94.6496    tcache.c:29                 redis-server             tcache_event_hard
