CPU: Intel Sandy Bridge microarchitecture, speed 2294.79 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 200000
samples  cum. samples  %        cum. %     linenr info                 image name               symbol name
15       5664437       2.6e-04  99.9955    object.c:93                 redis-server             dupStringObject
14       5664451       2.5e-04  99.9958    (no location information)   libpthread-2.16.so       accept
14       5664465       2.5e-04  99.9960    (no location information)   libpthread-2.16.so       fcntl
11       5664476       1.9e-04  99.9962    (no location information)   libc-2.16.so             _IO_setb
11       5664487       1.9e-04  99.9964    arena.c:515                 redis-server             arena_chunk_alloc
10       5664497       1.8e-04  99.9966    (no location information)   libpthread-2.16.so       __close_nocancel
9        5664506       1.6e-04  99.9968    (no location information)   libc-2.16.so             _IO_no_init
9        5664515       1.6e-04  99.9969    redis.c:591                 redis-server             incrementallyRehash
8        5664523       1.4e-04  99.9971    (no location information)   libc-2.16.so             _IO_str_init_static_internal
8        5664531       1.4e-04  99.9972    (no location information)   libc-2.16.so             __dcigettext
8        5664539       1.4e-04  99.9973    (no location information)   libc-2.16.so             _itoa_word
8        5664547       1.4e-04  99.9975    anet.c:334                  redis-server             anetTcpAccept
8        5664555       1.4e-04  99.9976    redis.c:294                 redis-server             redisLog
7        5664562       1.2e-04  99.9977    (no location information)   libc-2.16.so             setsockopt
7        5664569       1.2e-04  99.9979    dict.c:529                  redis-server             dictNext
6        5664575       1.1e-04  99.9980    dict.c:448                  redis-server             _dictClear
6        5664581       1.1e-04  99.9981    networking.c:52             redis-server             createClient
6        5664587       1.1e-04  99.9982    multi.c:36                  redis-server             initClientMultiState
6        5664593       1.1e-04  99.9983    redis.c:691                 redis-server             trackOperationsPerSecond
5        5664598       8.8e-05  99.9984    networking.c:517            redis-server             acceptCommonHandler
5        5664603       8.8e-05  99.9985    anet.c:317                  redis-server             anetGenericAccept
4        5664607       7.1e-05  99.9985    (no location information)   libc-2.16.so             _IO_old_init
4        5664611       7.1e-05  99.9986    (no location information)   libc-2.16.so             getenv
4        5664615       7.1e-05  99.9987    networking.c:543            redis-server             acceptTcpHandler
4        5664619       7.1e-05  99.9987    base.c:83                   redis-server             base_node_alloc
4        5664623       7.1e-05  99.9988    multi.c:236                 redis-server             unwatchAllKeys
3        5664626       5.3e-05  99.9989    (no location information)   libc-2.16.so             __strlen_sse2
3        5664629       5.3e-05  99.9989    (no location information)   libc-2.16.so             snprintf
3        5664632       5.3e-05  99.9990    (no location information)   libpthread-2.16.so       pthread_rwlock_rdlock
3        5664635       5.3e-05  99.9990    ziplist.c:578               redis-server             __ziplistInsert
3        5664638       5.3e-05  99.9991    anet.c:79                   redis-server             anetTcpNoDelay
3        5664641       5.3e-05  99.9991    arena.c:1786                redis-server             arena_dalloc_large
3        5664644       5.3e-05  99.9992    extent.c:39                 redis-server             extent_tree_ad_remove
3        5664647       5.3e-05  99.9992    adlist.c:42                 redis-server             listCreate
2        5664649       3.5e-05  99.9993    (no location information)   libc-2.16.so             strerror
2        5664651       3.5e-05  99.9993    (no location information)   libc-2.16.so             tfind
2        5664653       3.5e-05  99.9993    base.c:101                  redis-server             base_node_dealloc
2        5664655       3.5e-05  99.9994    chunk.c:141                 redis-server             chunk_alloc
2        5664657       3.5e-05  99.9994    extent.c:39                 redis-server             extent_tree_ad_nsearch
2        5664659       3.5e-05  99.9995    extent.c:26                 redis-server             extent_tree_szad_remove
